name		fast, 1.32, -40.0	typical, 1.20, 25.0	slow, 1.08, 125.0
S		N		N		N
# sram_8192x8_t13 words=8192 bits=8 mux=32 drive=6 pipeline=No frequency=100.000 ring width=4
geomx     	444.120   	444.120   	444.120   
geomy     	588.650   	588.650   	588.650   
ring_size 	9.200     	9.200     	9.200     
icc       	4.140     	3.526     	2.930     
icc_r     	4.071     	3.461     	2.832     
icc_w     	4.210     	3.591     	3.028     
icc_peak  	85.705    	49.771    	26.404    
icc_desel 	0.903     	0.784     	0.746     
icc_standby	0.007     	0.009     	0.065     
tcyc      	0.847     	1.292     	2.179     
ta        	0.286     	1.260     	2.133     
tas       	0.208     	0.319     	0.536     
tah       	0.011     	0.019     	0.032     
tcs       	0.473     	0.701     	1.203     
tch       	0.000     	0.000     	0.000     
tws       	0.135     	0.192     	0.299     
twh       	0.000     	0.000     	0.000     
tds       	0.099     	0.158     	0.287     
tdh       	0.003     	0.006     	0.010     
tckh      	0.055     	0.083     	0.139     
tckl      	0.339     	0.526     	0.886     
tckr      	4.000     	4.000     	4.000     
load_q    	0.342     	0.475     	0.696     
icap_a    	0.022     	0.021     	0.020     
icap_d    	0.001     	0.001     	0.001     
icap_clk  	0.090     	0.086     	0.083     
icap_cen  	0.004     	0.004     	0.004     
icap_wen  	0.007     	0.007     	0.007     
pwn_ck    	10.000    	10.000    	10.000    
vn_ck     	0.450     	0.447     	0.430     
vn_pwr    	0.132     	0.120     	0.108     
vn_gnd    	0.132     	0.120     	0.108     
